Row ID,Order ID,Order Date,Market,Product ID,Sales
1,MX-2015-SC2057582-42279,02-10-2015,LATAM,OFF-LA-4658,$13.08
2,MX-2013-KW1657028-41562,15-10-2013,LATAM,FUR-FU-6238,$252.16
3,MX-2013-KW1657028-41562,15-10-2013,LATAM,FUR-BO-4845,$193.28
4,MX-2013-KW1657028-41562,15-10-2013,LATAM,OFF-BI-3720,$35.44
5,MX-2013-KW1657028-41562,15-10-2013,LATAM,OFF-AR-5905,$71.6
6,MX-2013-KW1657028-41562,15-10-2013,LATAM,OFF-EN-4446,$56.12
7,MX-2014-DP1300018-41909,27-09-2014,LATAM,OFF-EN-4446,$56.12 
8,MX-2014-DP1300018-41909,27-09-2014,LATAM,TEC-MA-5003,$344.64
9,MX-2014-DP1300018-41909,27-09-2014,LATAM,OFF-SU-4116,$97.36
10,MX-2014-DP1300018-41909,27-09-2014,LATAM,TEC-AC-4186,$341.52
11,MX-2014-DP1300018-41909,27-09-2014,LATAM,OFF-BI-6398,$12.06
12,MX-2014-TB2125093-41703,05-03-2014,LATAM,OFF-FA-2955,$20.76
13,MX-2014-TB2125093-41703,05-03-2014,LATAM,FUR-CH-4698,$210.64
14,MX-2015-PK1891093-42271,24-09-2015,LATAM,OFF-EN-5034,$80.1
15,MX-2015-JK1562518-42295,18-10-2015,LATAM,OFF-AR-6106,$132.64
16,MX-2015-JK1562518-42295,18-10-2015,LATAM,OFF-FA-3022,$12.94
17,US-2014-HE1480098-41816,26-06-2014,LATAM,OFF-EN-4926,$18.84
18,US-2014-HE1480098-41816,26-06-2014,LATAM,FUR-FU-3941,$308.28
19,US-2014-HE1480098-41816,26-06-2014,LATAM,OFF-EN-4440,$40.176
20,US-2014-HE1480098-41816,26-06-2014,LATAM,OFF-EN-4906,$8.784
21,MX-2014-JE1561082-41992,19-12-2014,LATAM,FUR-CH-4682,$273.472
22,MX-2014-TB2105526-41941,29-10-2014,LATAM,TEC-AC-4174,$27
23,MX-2014-TB2105526-41941,29-10-2014,LATAM,OFF-SU-2967,$207
24,US-2015-DW1319598-42280,03-10-2015,LATAM,OFF-BI-2899,$60.66
25,US-2013-SJ2021582-41543,26-09-2013,LATAM,FUR-FU-3928,$181.116
26,MX-2015-SP2065082-42173,18-06-2015,LATAM,TEC-CO-4765,$326.18632
27,MX-2015-SP2065082-42173,18-06-2015,LATAM,OFF-ST-5688,$80
28,US-2014-SC2005055-41783,24-05-2014,LATAM,OFF-BI-6383,$141.288
29,US-2014-SC2005055-41783,24-05-2014,LATAM,OFF-FA-6208,$21.84
30,US-2014-SC2005055-41783,24-05-2014,LATAM,TEC-PH-5262,$114.816
31,US-2014-SC2005055-41783,24-05-2014,LATAM,OFF-AR-3488,$19.272
32,US-2014-SC2005055-41783,24-05-2014,LATAM,OFF-AP-3582,$152.28
33,US-2014-SC2005055-41783,24-05-2014,LATAM,TEC-CO-5998,$941.77824
34,US-2014-SC2005055-41783,24-05-2014,LATAM,OFF-AR-6118,$10.416
35,MX-2015-DM1352582-42139,15-05-2015,LATAM,OFF-SU-4305,$300.72
36,MX-2015-DM1352582-42139,15-05-2015,LATAM,OFF-SU-2980,$138.18
37,MX-2015-DM1352582-42139,15-05-2015,LATAM,OFF-SU-4976,$90.8
38,MX-2015-SC2044031-42189,04-07-2015,LATAM,FUR-TA-3757,$529.32
39,MX-2015-SC2044031-42189,04-07-2015,LATAM,FUR-BO-4865,$333.6
40,MX-2015-SC2044031-42189,04-07-2015,LATAM,OFF-FA-3060,$42.72
41,MX-2015-AR1082536-42347,09-12-2015,LATAM,OFF-SU-4327,$62.4
42,MX-2014-RW1969082-41807,17-06-2014,LATAM,TEC-PH-5273,$346.08
43,MX-2015-MT1781582-42306,29-10-2015,LATAM,TEC-MA-5548,$414
44,MX-2015-MT1781582-42306,29-10-2015,LATAM,OFF-AP-4505,$722.36
45,MX-2015-MT1781582-42306,29-10-2015,LATAM,TEC-AC-5216,$56.34
46,MX-2015-LC1696018-42020,16-01-2015,LATAM,FUR-CH-5409,$168.96
47,US-2013-AS1024036-41391,27-04-2013,LATAM,OFF-ST-4108,$125.44
48,US-2013-AS1024036-41391,27-04-2013,LATAM,TEC-CO-3703,$153.40752
49,MX-2012-SF2020018-41071,11-06-2012,LATAM,FUR-FU-3036,$26.76
50,MX-2015-MG1820528-42130,06-05-2015,LATAM,OFF-FA-2946,$44.9
51,MX-2012-KC1625582-41194,12-10-2012,LATAM,OFF-SU-6167,$66.88
52,US-2012-DW1348055-41000,01-04-2012,LATAM,TEC-CO-4574,$230.67252
53,US-2012-DW1348055-41000,01-04-2012,LATAM,TEC-CO-3703,$172.43928
54,US-2012-DW1348055-41000,01-04-2012,LATAM,OFF-AP-4964,$683.496
55,US-2012-DW1348055-41000,01-04-2012,LATAM,OFF-EN-3100,$27.72
56,MX-2014-DS1303036-41790,31-05-2014,LATAM,OFF-FA-6208,$21.84
57,MX-2014-DS1303036-41790,31-05-2014,LATAM,FUR-BO-3630,$200.544
58,MX-2012-JM1558082-41045,16-05-2012,LATAM,TEC-PH-5355,$2124.5
59,US-2012-PW1924098-41144,23-08-2012,LATAM,OFF-AR-5913,$22.716
60,MX-2014-DS1303018-41923,11-10-2014,LATAM,TEC-PH-5832,$391.32
61,MX-2012-CC1222082-41202,20-10-2012,LATAM,OFF-AP-4719,$63.54
62,MX-2015-MG1820518-42140,16-05-2015,LATAM,FUR-BO-5760,$875.22
63,US-2013-LC1688555-41512,26-08-2013,LATAM,FUR-BO-4862,$437.688
64,MX-2015-BT1153082-42077,14-03-2015,LATAM,OFF-BI-2902,$68.6
65,MX-2015-BT1153082-42077,14-03-2015,LATAM,OFF-BI-2895,$48.7
66,US-2013-RK1930055-41583,05-11-2013,LATAM,FUR-TA-4707,$132.108
67,MX-2012-PB1921031-41059,30-05-2012,LATAM,OFF-PA-4007,$17.96
68,MX-2012-PB1921031-41059,30-05-2012,LATAM,TEC-CO-4573,$635.6262
69,MX-2014-BM1114028-41843,23-07-2014,LATAM,FUR-BO-5950,$874.68
70,MX-2014-BM1114028-41843,23-07-2014,LATAM,FUR-FU-3946,$75.96
71,US-2015-TZ2144518-42259,12-09-2015,LATAM,FUR-TA-3765,$928.256
72,US-2012-GZ1447036-40963,24-02-2012,LATAM,TEC-MA-5510,$107.448
73,MX-2013-FM1421582-41321,16-02-2013,LATAM,OFF-SU-6181,$28.5
74,MX-2013-FM1421582-41321,16-02-2013,LATAM,TEC-AC-5193,$98
75,MX-2013-FM1421582-41321,16-02-2013,LATAM,OFF-BI-3737,$8.96
76,MX-2013-FM1421582-41321,16-02-2013,LATAM,OFF-EN-4917,$135.7
77,US-2015-LR16915101-42180,25-06-2015,LATAM,OFF-SU-4316,$18.528
78,US-2015-LR16915101-42180,25-06-2015,LATAM,OFF-ST-6048,$158.76
79,US-2015-LR16915101-42180,25-06-2015,LATAM,OFF-SU-4991,$121.716
80,US-2012-KT1646598-41072,12-06-2012,LATAM,FUR-FU-6258,$22.788
81,US-2012-KT1646598-41072,12-06-2012,LATAM,FUR-CH-5436,$323.064
82,US-2012-KT1646598-41072,12-06-2012,LATAM,TEC-AC-4166,$137.52
83,US-2012-KT1646598-41072,12-06-2012,LATAM,OFF-AR-3484,$39.54
84,MX-2014-MW1822082-41815,25-06-2014,LATAM,OFF-ST-4080,$263.92
85,MX-2014-MW1822082-41815,25-06-2014,LATAM,OFF-SU-4135,$144.3
86,MX-2015-CS1235582-42026,22-01-2015,LATAM,OFF-PA-4471,$36.72
87,MX-2015-PS1876082-42173,18-06-2015,LATAM,OFF-FA-5469,$76.96
88,MX-2015-PS1876082-42173,18-06-2015,LATAM,FUR-FU-4043,$39.024
89,MX-2013-SC2084582-41636,28-12-2013,LATAM,TEC-AC-5199,$142.68
90,MX-2013-SC2084582-41636,28-12-2013,LATAM,FUR-BO-3903,$582
91,MX-2013-SC2084582-41636,28-12-2013,LATAM,OFF-BI-4825,$41.94
92,MX-2013-SC2084582-41636,28-12-2013,LATAM,OFF-EN-3101,$255
93,MX-2014-AJ1078082-41752,23-04-2014,LATAM,OFF-PA-6609,$58.9
94,MX-2014-AJ1078082-41752,23-04-2014,LATAM,OFF-EN-5039,$88.3
95,MX-2014-AJ1078082-41752,23-04-2014,LATAM,OFF-FA-6208,$17.68
